scope,bars_bucket,n_trades,net_pnl,win_rate,profit_factor,avg_pnl
v3.1-min2bar,4-6,26,95.55000000000001,0.8076923076923077,4.506422018348624,3.6750000000000003
v3.1-min2bar,7-10,7,85.1,1.0,inf,12.157142857142857
v3.1-min2bar,11+,2,66.1,1.0,inf,33.05
v3.1-pctile,1,112,-405.90000000000003,0.14285714285714285,0.1048627191531591,-3.624107142857143
v3.1-pctile,2,24,25.700000000000003,0.5833333333333334,1.7449275362318841,1.0708333333333335
v3.1-pctile,3,14,30.200000000000006,0.5714285714285714,3.1267605633802824,2.1571428571428575
v3.1-pctile,4-6,18,106.15,0.9444444444444444,24.85393258426966,5.897222222222222
v3.1-pctile,7-10,3,57.900000000000006,1.0,inf,19.3
v3.1-pctile,11+,2,66.1,1.0,inf,33.05
v3.1-trail,1,133,-236.8499999999999,0.3157894736842105,0.4459001052754709,-1.7808270676691722
v3.1-trail,2,17,33.1,0.5294117647058824,2.359342915811088,1.947058823529412
v3.1-trail,3,13,-9.1,0.38461538461538464,0.6761565836298934,-0.7
v3.1-trail,4-6,15,53.25,0.9333333333333333,12.966292134831457,3.55
v3.1-trail,7-10,2,18.6,1.0,inf,9.3
v3.1-trail,11+,3,51.65,0.3333333333333333,14.243589743589743,17.216666666666665
v4-loose-shorts,1,180,-738.5,0.15555555555555556,0.14639079928336124,-4.102777777777778
v4-loose-shorts,2,37,46.599999999999994,0.5675675675675675,1.8291814946619216,1.2594594594594593
v4-loose-shorts,3,22,152.10000000000002,0.7272727272727273,11.711267605633804,6.913636363636365
v4-loose-shorts,4-6,24,224.45000000000005,0.9583333333333334,51.438202247191015,9.352083333333335
v4-loose-shorts,7-10,9,161.2,1.0,inf,17.91111111111111
v4-loose-shorts,11+,3,44.15,0.6666666666666666,4.694560669456067,14.716666666666667
v4-overnight-bias,1,197,-767.9000000000001,0.18274111675126903,0.20851370851370846,-3.897969543147209
v4-overnight-bias,2,38,57.14999999999999,0.5789473684210527,2.0896091515729265,1.5039473684210525
v4-overnight-bias,3,25,193.75,0.72,11.3887399463807,7.75
v4-overnight-bias,4-6,22,304.6,0.9545454545454546,69.44943820224721,13.845454545454546
v4-overnight-bias,7-10,13,192.15000000000003,1.0,inf,14.780769230769234
v4-overnight-bias,11+,6,153.3,0.8333333333333334,13.828451882845188,25.55
v4-trend-flip,1,170,-726.5,0.17058823529411765,0.1755560599182932,-4.273529411764706
v4-trend-flip,2,39,-46.05,0.4358974358974359,0.6175249169435215,-1.1807692307692308
v4-trend-flip,3,29,178.45000000000007,0.5862068965517241,4.784729586426299,6.153448275862072
v4-trend-flip,4-6,32,315.1,0.6875,5.616849816849816,9.846875
v4-trend-flip,7-10,12,99.1,0.8333333333333334,4.429065743944637,8.258333333333333
v4-trend-flip,11+,7,-78.64999999999999,0.42857142857142855,0.4767132401862941,-11.235714285714284
v4-trend-gate,1,162,-640.9,0.1728395061728395,0.1875,-3.9561728395061726
v4-trend-gate,2,31,49.54999999999998,0.5483870967741935,2.5340557275541786,1.598387096774193
v4-trend-gate,3,19,116.7,0.631578947368421,7.257372654155498,6.1421052631578945
v4-trend-gate,4-6,22,272.1,0.8636363636363636,18.167192429022084,12.368181818181819
v4-trend-gate,7-10,11,181.05,1.0,inf,16.45909090909091
v4-trend-gate,11+,5,55.25,0.6,3.3117154811715483,11.05
v4-vol-regime,1,204,-815.3,0.18137254901960784,0.19923390463094826,-3.99656862745098
v4-vol-regime,2,40,55.75,0.575,1.9797891036906856,1.39375
v4-vol-regime,3,25,193.75,0.72,11.3887399463807,7.75
v4-vol-regime,4-6,22,303.3500000000001,0.9545454545454546,69.16853932584272,13.788636363636368
v4-vol-regime,7-10,12,186.60000000000002,1.0,inf,15.550000000000002
v4-vol-regime,11+,6,98.3,0.6666666666666666,5.112970711297072,16.383333333333333
v5-mtf-anchor,1,202,-800.1500000000001,0.17326732673267325,0.211208596214511,-3.9611386138613867
v5-mtf-anchor,2,42,50.599999999999994,0.5714285714285714,1.808306709265176,1.2047619047619047
v5-mtf-anchor,3,26,183.05000000000004,0.6923076923076923,9.377574370709382,7.040384615384617
v5-mtf-anchor,4-6,25,308.75000000000006,0.92,31.418719211822662,12.350000000000001
v5-mtf-anchor,7-10,11,181.05,1.0,inf,16.45909090909091
v5-mtf-anchor,11+,5,85.25,0.6,4.566945606694561,17.05
