strategy_id,hour_ct,n_trades,net_pnl,win_rate,gross_win,gross_loss
v3.1-canon,22,11,27.300000000000004,0.6363636363636364,40.1,12.8
v3.1-canon,23,19,-3.2999999999999963,0.2631578947368421,46.5,49.800000000000004
v3.1-min2bar,0,15,-10.500000000000002,0.3333333333333333,22.75,33.25
v3.1-min2bar,1,13,-0.34999999999999787,0.5384615384615384,36.35,36.699999999999996
v3.1-min2bar,2,15,-19.249999999999996,0.4,18.3,37.550000000000004
v3.1-min2bar,3,19,5.45,0.47368421052631576,42.45,37.00000000000001
v3.1-min2bar,4,11,58.55,0.7272727272727273,74.4,15.85
v3.1-min2bar,5,12,-17.149999999999995,0.3333333333333333,17.200000000000003,34.349999999999994
v3.1-min2bar,10,3,-10.85,0.0,0.0,10.85
v3.1-min2bar,11,1,-0.7,0.0,0.0,0.7
v3.1-min2bar,13,10,-74.5,0.1,1.8,76.3
v3.1-min2bar,14,2,3.6,1.0,3.6,0.0
v3.1-min2bar,15,10,-42.0,0.3,20.400000000000002,62.400000000000006
v3.1-min2bar,17,1,53.05,1.0,53.05,0.0
v3.1-min2bar,18,4,-6.55,0.25,1.8,8.35
v3.1-min2bar,19,10,-38.24999999999999,0.3,14.150000000000002,52.400000000000006
v3.1-min2bar,20,6,-17.949999999999996,0.3333333333333333,11.100000000000001,29.049999999999997
v3.1-min2bar,21,5,1.4999999999999993,0.2,6.8,5.3
v3.1-min2bar,22,10,25.500000000000004,0.8,40.65,15.149999999999999
v3.1-min2bar,23,16,25.050000000000004,0.4375,55.1,30.050000000000004
v3.1-pctile,0,13,-14.099999999999998,0.23076923076923078,19.150000000000002,33.25
v3.1-pctile,1,13,-0.34999999999999787,0.5384615384615384,36.35,36.699999999999996
v3.1-pctile,2,15,-17.999999999999996,0.4,18.3,36.3
v3.1-pctile,3,20,-1.4999999999999971,0.45,42.449999999999996,43.95
v3.1-pctile,4,12,45.349999999999994,0.5833333333333334,67.6,22.25
v3.1-pctile,5,12,-12.149999999999995,0.25,17.900000000000002,30.049999999999997
v3.1-pctile,10,2,-6.4,0.0,0.0,6.4
v3.1-pctile,11,1,-0.7,0.0,0.0,0.7
v3.1-pctile,13,13,-77.85000000000001,0.0,0.0,77.85000000000001
v3.1-pctile,14,2,3.6,1.0,3.6,0.0
v3.1-pctile,15,10,-37.0,0.3,20.400000000000002,57.400000000000006
v3.1-pctile,17,2,49.849999999999994,0.5,53.05,3.2
v3.1-pctile,18,4,-6.55,0.25,1.8,8.35
v3.1-pctile,19,10,-31.999999999999993,0.3,14.150000000000002,46.150000000000006
v3.1-pctile,20,6,-29.199999999999996,0.16666666666666666,3.05,32.25
v3.1-pctile,21,8,-0.6000000000000005,0.25,8.6,9.2
v3.1-pctile,22,11,21.050000000000004,0.6363636363636364,33.85,12.8
v3.1-pctile,23,19,-3.2999999999999963,0.2631578947368421,46.5,49.800000000000004
v3.1-trail,0,17,-26.900000000000002,0.29411764705882354,15.25,42.150000000000006
