strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes
session,2024-04-04T12:30:00+00:00,2024-04-04T12:34:00+00:00,buy,5284.0,5286.75,25.02,target,4
session,2024-04-04T12:34:00+00:00,2024-04-04T12:48:00+00:00,buy,5288.75,5293.0,20.01,target,14
session,2024-04-04T12:48:00+00:00,2024-04-04T13:10:00+00:00,buy,5297.0,5301.75,22.51,target,22
session,2024-04-04T13:10:00+00:00,2024-04-04T13:16:00+00:00,buy,5303.5,5301.75,-19.98,stop,6
session,2024-04-04T13:16:00+00:00,2024-04-04T13:38:00+00:00,buy,5303.0,5301.25,-19.98,stop,22
session,2024-04-04T13:38:00+00:00,2024-04-04T13:50:00+00:00,buy,5300.5,5297.75,-14.99,stop,12
session,2024-04-04T14:20:00+00:00,2024-04-04T14:22:00+00:00,buy,5298.25,5297.25,-18.72,stop,2
session,2024-04-04T14:26:00+00:00,2024-04-04T14:34:00+00:00,buy,5297.5,5296.0,-17.48,stop,8
session,2024-04-04T14:42:00+00:00,2024-04-04T14:50:00+00:00,buy,5298.5,5297.0,-17.48,stop,8
session,2024-04-04T14:52:00+00:00,2024-04-04T15:12:00+00:00,buy,5296.5,5295.25,-22.47,stop,20
session,2024-04-04T15:28:00+00:00,2024-04-04T15:40:00+00:00,buy,5297.0,5299.0,26.28,target,12
session,2024-04-04T15:40:00+00:00,2024-04-04T15:50:00+00:00,buy,5299.5,5301.5,26.28,target,10
session,2024-04-04T15:50:00+00:00,2024-04-04T16:04:00+00:00,buy,5301.5,5303.5,26.28,target,14
session,2024-04-04T16:04:00+00:00,2024-04-04T16:56:00+00:00,buy,5305.25,5303.25,-22.48,stop,52
session,2024-04-05T08:26:00+00:00,2024-04-05T08:30:00+00:00,buy,5210.25,5212.25,26.28,target,4
session,2024-04-05T08:30:00+00:00,2024-04-05T08:52:00+00:00,buy,5212.75,5211.0,-19.98,stop,22
session,2024-04-05T08:52:00+00:00,2024-04-05T08:54:00+00:00,buy,5210.5,5209.5,-18.72,stop,2
session,2024-04-05T08:58:00+00:00,2024-04-05T10:26:00+00:00,buy,5212.0,5209.75,-24.98,stop,88
session,2024-04-05T10:36:00+00:00,2024-04-05T11:36:00+00:00,buy,5211.75,5214.0,30.03,target,60
session,2024-04-05T11:36:00+00:00,2024-04-05T11:56:00+00:00,buy,5216.75,5214.75,-22.48,stop,20
session,2024-04-05T11:56:00+00:00,2024-04-05T12:00:00+00:00,buy,5214.5,5216.5,26.28,target,4
session,2024-04-05T12:00:00+00:00,2024-04-05T12:08:00+00:00,buy,5216.75,5215.0,-19.98,stop,8
session,2024-04-05T12:28:00+00:00,2024-04-05T12:30:00+00:00,buy,5218.0,5215.5,-13.74,stop,2
session,2024-04-05T12:52:00+00:00,2024-04-05T12:56:00+00:00,buy,5215.75,5211.0,-24.99,stop,4
session,2024-04-05T13:00:00+00:00,2024-04-05T13:02:00+00:00,buy,5215.5,5211.0,-23.74,stop,2
