strategy,entry_ts,exit_ts,side,entry_price,exit_price,net_pnl,outcome,bars_held_minutes
regime,2024-04-04T08:16:00+00:00,2024-04-04T08:30:00+00:00,sell,5281.75,5283.75,-22.48,stop,14
regime,2024-04-04T08:04:00+00:00,2024-04-04T08:30:00+00:00,sell,5282.0,5284.0,-22.48,stop,26
regime,2024-04-04T08:22:00+00:00,2024-04-04T08:30:00+00:00,buy,5280.75,5284.5,35.02,target,8
regime,2024-04-04T08:12:00+00:00,2024-04-04T08:48:00+00:00,buy,5282.25,5280.25,-22.48,stop,36
regime,2024-04-04T08:24:00+00:00,2024-04-04T09:04:00+00:00,buy,5282.25,5280.0,-12.49,stop,40
regime,2024-04-04T08:10:00+00:00,2024-04-04T09:08:00+00:00,sell,5282.75,5279.5,30.02,target,58
regime,2024-04-04T08:50:00+00:00,2024-04-04T09:08:00+00:00,buy,5281.5,5279.75,-19.98,stop,18
regime,2024-04-04T09:08:00+00:00,2024-04-04T09:14:00+00:00,sell,5280.5,5282.0,-26.22,stop,6
regime,2024-04-04T09:06:00+00:00,2024-04-04T09:18:00+00:00,buy,5280.5,5282.75,30.03,target,12
regime,2024-04-04T09:12:00+00:00,2024-04-04T09:18:00+00:00,sell,5281.25,5282.75,-17.48,stop,6
regime,2024-04-04T09:10:00+00:00,2024-04-04T09:22:00+00:00,buy,5280.5,5283.0,22.52,target,12
regime,2024-04-04T09:14:00+00:00,2024-04-04T09:26:00+00:00,sell,5282.25,5283.75,-17.48,stop,12
regime,2024-04-04T09:34:00+00:00,2024-04-04T09:40:00+00:00,buy,5282.75,5281.5,-22.47,stop,6
regime,2024-04-04T09:36:00+00:00,2024-04-04T09:44:00+00:00,sell,5282.0,5283.25,-22.47,stop,8
regime,2024-04-04T09:38:00+00:00,2024-04-04T09:44:00+00:00,buy,5282.0,5283.75,22.53,target,6
regime,2024-04-04T09:42:00+00:00,2024-04-04T09:44:00+00:00,sell,5282.5,5283.75,-22.47,stop,2
regime,2024-04-04T09:20:00+00:00,2024-04-04T10:00:00+00:00,buy,5282.5,5281.25,-22.47,stop,40
regime,2024-04-04T09:28:00+00:00,2024-04-04T10:00:00+00:00,sell,5283.25,5281.25,26.28,target,32
regime,2024-04-04T09:30:00+00:00,2024-04-04T10:02:00+00:00,buy,5282.25,5281.0,-22.47,stop,32
regime,2024-04-04T09:32:00+00:00,2024-04-04T10:02:00+00:00,sell,5283.0,5280.75,30.03,target,30
regime,2024-04-04T09:40:00+00:00,2024-04-04T10:02:00+00:00,buy,5282.0,5280.75,-22.47,stop,22
regime,2024-04-04T09:44:00+00:00,2024-04-04T10:02:00+00:00,sell,5283.0,5280.5,22.52,target,18
regime,2024-04-04T10:06:00+00:00,2024-04-04T10:10:00+00:00,sell,5280.75,5282.5,-19.98,stop,4
